ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Dance_Forms,Martial_Arts,Outdoor_Activities,Sports
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"In which forms of dance have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which martial arts have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which outdoor activities have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which sports have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID25""}","{""ImportId"":""QID23""}"
R_3g1TPcfJjkHUHxD,2020-11-11 16:21:31,2020-11-11 15:51:43,2020-11-11 16:21:31,1,action,2,"4,14",1,12
R_3DbaNhhBNLLYEWM,2020-11-13 15:19:13,2020-11-13 11:01:46,2020-11-13 11:19:09,0,control,,,,
R_1g2zd7zZuVlr0Dq,2020-11-19 16:35:28,2020-11-19 15:46:14,2020-11-19 16:35:28,1,stationary,1,1,1,10
R_1pldJdcEsu7L2J0,2020-11-21 12:41:43,2020-11-21 12:17:32,2020-11-21 12:41:43,1,action,1,1,1,21
R_3Hp2ipKsSiBvcoa,2020-11-23 20:35:34,2020-11-23 20:09:07,2020-11-23 20:35:33,1,stationary,1,1,1,"2,3,14,21"
R_1omYuTMtnUnuTaq,2020-12-06 18:14:14,2020-12-06 13:55:13,2020-12-06 14:14:09,0,control,,,,
R_2CWDqbCF4i98RT1,2020-12-07 14:23:21,2020-12-07 13:57:32,2020-12-07 14:23:21,1,stationary,3,1,1,"22,25"
R_21HZDFVEAo8wjmQ,2020-12-11 09:36:18,2020-12-11 09:12:05,2020-12-11 09:36:17,1,control,1,17,1,20
R_1r8q2WcV20ldRRJ,2020-12-12 20:38:26,2020-12-12 20:11:09,2020-12-12 20:38:26,1,action,1,1,"3,4",20
R_3PRL47a08LkcgCX,2020-12-12 21:50:37,2020-12-12 21:12:39,2020-12-12 21:50:37,1,control,1,1,1,"12,21"
R_2CleyaFI8j68tvi,2020-12-14 21:33:13,2020-12-14 21:06:30,2020-12-14 21:33:12,1,action,"2,16",1,1,"12,17,20"
R_2QSQMLCoqAbJ4Uy,2020-12-19 12:00:09,2020-12-19 11:30:55,2020-12-19 12:00:09,1,stationary,1,17,1,"3,9,25"
R_9XYPYREeHHivfvH,2020-12-19 16:56:08,2020-12-19 16:13:19,2020-12-19 16:56:07,1,action,"16,17",1,1,20
R_9Z6V2jy8zanjCet,2021-02-23 13:16:13,2021-02-23 12:46:52,2021-02-23 13:16:12,1,stationary,13,1,7,"11,17"
R_7OMvDnLUYAXcJ3P,2021-02-23 19:26:14,2021-02-23 18:57:34,2021-02-23 19:26:14,1,control,1,1,7,"2,4,12,20,22"
R_qXb6kFYFabudYuB,2021-02-24 15:57:32,2021-02-24 15:28:36,2021-02-24 15:57:32,1,stationary,"2,7,8,9,15",12,7,"6,9,12,17,20,21,22"
R_2D040LrzDnjnxX5,2021-02-24 23:34:41,2021-02-24 23:07:31,2021-02-24 23:34:41,1,action,1,1,1,"3,12,17,21,25"
R_7TGS1WSDK2gtkWZ,2021-02-26 04:32:35,2021-02-26 04:00:26,2021-02-26 04:32:35,1,stationary,7,1,1,10
R_OjIL607w1KL8NLr,2021-02-27 19:11:15,2021-02-27 18:47:00,2021-02-27 19:11:15,1,action,1,1,"3,6,7,8",2
R_31GhOM0K5ZZiIOU,2021-02-28 15:10:27,2021-02-28 14:36:21,2021-02-28 15:10:26,1,control,1,1,1,1
R_1LNbnaPgt7LK42u,2021-02-28 23:58:59,2021-02-28 19:29:33,2021-02-28 19:58:56,0,action,,,,
R_yxNdeK7WQ6p9PcR,2021-03-01 09:44:07,2021-03-01 09:13:50,2021-03-01 09:44:07,1,control,1,13,"4,5",11
R_1QLTSqvciPHARmS,2021-03-02 00:45:17,2021-03-01 20:24:22,2021-03-01 20:45:16,0,action,,,,
R_OOSMzJUU74DkL2F,2021-03-04 18:42:59,2021-03-04 18:18:06,2021-03-04 18:42:58,1,control,1,1,"2,3","3,9,17"
R_1d5XYx82RrqtMGa,2021-03-08 00:35:08,2021-03-08 00:05:12,2021-03-08 00:35:08,1,stationary,1,1,6,20
R_1rPkNLCktfEXhR9,2021-03-12 18:58:27,2021-03-12 18:30:54,2021-03-12 18:58:26,1,control,"2,8,9",1,1,1
R_0Bqz3ThCxA96a0F,2021-03-13 11:51:33,2021-03-13 11:25:02,2021-03-13 11:51:32,1,action,1,1,1,"6,17,20,21,22"
R_301972JI9hxcbI2,2021-03-21 16:31:40,2021-03-21 15:58:44,2021-03-21 16:31:40,1,stationary,"12,16",19,3,"2,11,13,17,25"
R_2a9NhpsBpqKBtzl,2021-04-09 16:59:32,2021-04-09 16:28:26,2021-04-09 16:59:31,1,action,1,1,1,"6,17,20,21,22"
